#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   147   0.908019E-09  -0.758097E-11   0.492318E-10  -0.758097E-11   0.143647E-12  -0.155722E-12   0.492318E-10  -0.155722E-12   0.769653E-08
   148   0.915786E-09  -0.766362E-11   0.488916E-10  -0.766362E-11   0.144765E-12  -0.146550E-12   0.488916E-10  -0.146550E-12   0.753854E-08
   149   0.923550E-09  -0.774492E-11   0.485546E-10  -0.774492E-11   0.145849E-12  -0.138410E-12   0.485546E-10  -0.138410E-12   0.738366E-08
   150   0.931311E-09  -0.782481E-11   0.482199E-10  -0.782481E-11   0.146899E-12  -0.131540E-12   0.482199E-10  -0.131540E-12   0.723185E-08
   151   0.939065E-09  -0.790325E-11   0.478867E-10  -0.790325E-11   0.147914E-12  -0.126124E-12   0.478867E-10  -0.126124E-12   0.708303E-08
   152   0.946813E-09  -0.798019E-11   0.475547E-10  -0.798019E-11   0.148894E-12  -0.122128E-12   0.475547E-10  -0.122128E-12   0.693717E-08
   153   0.954555E-09  -0.805555E-11   0.472242E-10  -0.805555E-11   0.149837E-12  -0.119463E-12   0.472242E-10  -0.119463E-12   0.679422E-08
   154   0.962290E-09  -0.812930E-11   0.468950E-10  -0.812930E-11   0.150743E-12  -0.118040E-12   0.468950E-10  -0.118040E-12   0.665413E-08
   155   0.970017E-09  -0.820134E-11   0.465672E-10  -0.820134E-11   0.151610E-12  -0.117769E-12   0.465672E-10  -0.117769E-12   0.651687E-08
   156   0.977737E-09  -0.827164E-11   0.462409E-10  -0.827164E-11   0.152437E-12  -0.118561E-12   0.462409E-10  -0.118561E-12   0.638239E-08
   157   0.985447E-09  -0.834013E-11   0.459160E-10  -0.834013E-11   0.153222E-12  -0.120327E-12   0.459160E-10  -0.120327E-12   0.625065E-08
   158   0.993149E-09  -0.840674E-11   0.455926E-10  -0.840674E-11   0.153966E-12  -0.122977E-12   0.455926E-10  -0.122977E-12   0.612160E-08
   159   0.100084E-08  -0.847144E-11   0.452708E-10  -0.847144E-11   0.154667E-12  -0.126423E-12   0.452708E-10  -0.126423E-12   0.599521E-08
   160   0.100852E-08  -0.853415E-11   0.449505E-10  -0.853415E-11   0.155326E-12  -0.130576E-12   0.449505E-10  -0.130576E-12   0.587142E-08
   161   0.101619E-08  -0.859483E-11   0.446318E-10  -0.859483E-11   0.155941E-12  -0.135345E-12   0.446318E-10  -0.135345E-12   0.575020E-08
   162   0.102384E-08  -0.865343E-11   0.443147E-10  -0.865343E-11   0.156511E-12  -0.140642E-12   0.443147E-10  -0.140642E-12   0.563151E-08
   163   0.103147E-08  -0.870987E-11   0.439992E-10  -0.870987E-11   0.157040E-12  -0.146379E-12   0.439992E-10  -0.146379E-12   0.551529E-08
