#    L    TT             EE             TE             PP             TP          
   246   0.151427E-08   0.106095E-12  -0.283731E-11   0.737256E-08   0.143639E-09
   247   0.151715E-08   0.106130E-12  -0.262193E-11   0.727388E-08   0.142303E-09
   248   0.151995E-08   0.106223E-12  -0.240320E-11   0.717754E-08   0.140970E-09
   249   0.152265E-08   0.106372E-12  -0.218112E-11   0.708343E-08   0.139639E-09
   250   0.152526E-08   0.106578E-12  -0.195571E-11   0.699147E-08   0.138310E-09
   251   0.152778E-08   0.106840E-12  -0.172701E-11   0.690156E-08   0.136983E-09
   252   0.153021E-08   0.107164E-12  -0.149509E-11   0.681367E-08   0.135658E-09
   253   0.153254E-08   0.107558E-12  -0.126002E-11   0.672776E-08   0.134335E-09
   254   0.153478E-08   0.108029E-12  -0.102190E-11   0.664379E-08   0.133015E-09
   255   0.153692E-08   0.108584E-12  -0.780802E-12   0.656175E-08   0.131697E-09
   256   0.153896E-08   0.109229E-12  -0.536801E-12   0.648160E-08   0.130381E-09
   257   0.154091E-08   0.109972E-12  -0.289957E-12   0.640330E-08   0.129069E-09
   258   0.154276E-08   0.110819E-12  -0.403835E-13   0.632682E-08   0.127759E-09
   259   0.154451E-08   0.111776E-12   0.212004E-12   0.625214E-08   0.126453E-09
   260   0.154617E-08   0.112850E-12   0.466930E-12   0.617922E-08   0.125150E-09
   261   0.154774E-08   0.114047E-12   0.724520E-12   0.610804E-08   0.123851E-09
   262   0.154921E-08   0.115373E-12   0.984599E-12   0.603855E-08   0.122555E-09
   263   0.155059E-08   0.116835E-12   0.124719E-11   0.597072E-08   0.121263E-09
   264   0.155187E-08   0.118438E-12   0.151212E-11   0.590454E-08   0.119975E-09
   265   0.155305E-08   0.120185E-12   0.177952E-11   0.583996E-08   0.118691E-09
   266   0.155414E-08   0.122084E-12   0.204910E-11   0.577695E-08   0.117411E-09
   267   0.155514E-08   0.124137E-12   0.232080E-11   0.571549E-08   0.116136E-09
   268   0.155603E-08   0.126350E-12   0.259474E-11   0.565553E-08   0.114865E-09
   269   0.155683E-08   0.128729E-12   0.287064E-11   0.559706E-08   0.113600E-09
   270   0.155753E-08   0.131276E-12   0.314863E-11   0.554003E-08   0.112339E-09
   271   0.155814E-08   0.133998E-12   0.342843E-11   0.548442E-08   0.111083E-09
   272   0.155864E-08   0.136898E-12   0.371017E-11   0.543020E-08   0.109833E-09
   273   0.155905E-08   0.139978E-12   0.399367E-11   0.537733E-08   0.108588E-09
   274   0.155936E-08   0.143244E-12   0.427907E-11   0.532578E-08   0.107348E-09
   275   0.155957E-08   0.146698E-12   0.456608E-11   0.527552E-08   0.106115E-09
   276   0.155969E-08   0.150346E-12   0.485482E-11   0.522652E-08   0.104887E-09
   277   0.155971E-08   0.154189E-12   0.514513E-11   0.517875E-08   0.103665E-09
   278   0.155963E-08   0.158231E-12   0.543693E-11   0.513218E-08   0.102450E-09
   279   0.155946E-08   0.162475E-12   0.573034E-11   0.508677E-08   0.101241E-09
   280   0.155919E-08   0.166921E-12   0.602519E-11   0.504250E-08   0.100039E-09
   281   0.155882E-08   0.171575E-12   0.632150E-11   0.499933E-08   0.988429E-10
   282   0.155835E-08   0.176436E-12   0.661921E-11   0.495723E-08   0.976542E-10
   283   0.155779E-08   0.181508E-12   0.691822E-11   0.491617E-08   0.964725E-10
   284   0.155713E-08   0.186794E-12   0.721848E-11   0.487612E-08   0.952981E-10
   285   0.155638E-08   0.192294E-12   0.751999E-11   0.483704E-08   0.941310E-10
   286   0.155553E-08   0.198011E-12   0.782280E-11   0.479891E-08   0.929715E-10
   287   0.155458E-08   0.203945E-12   0.812682E-11   0.476170E-08   0.918197E-10
   288   0.155354E-08   0.210098E-12   0.843188E-11   0.472537E-08   0.906757E-10
   289   0.155240E-08   0.216471E-12   0.873820E-11   0.468989E-08   0.895398E-10
   290   0.155116E-08   0.223065E-12   0.904551E-11   0.465523E-08   0.884121E-10
   291   0.154983E-08   0.229884E-12   0.935393E-11   0.462135E-08   0.872928E-10
   292   0.154841E-08   0.236915E-12   0.966340E-11   0.458824E-08   0.861820E-10
   293   0.154689E-08   0.244176E-12   0.997392E-11   0.455585E-08   0.850798E-10
   294   0.154527E-08   0.251662E-12   0.102853E-10   0.452416E-08   0.839865E-10
   295   0.154356E-08   0.259361E-12   0.105978E-10   0.449312E-08   0.829023E-10
   296   0.154175E-08   0.267287E-12   0.109111E-10   0.446273E-08   0.818272E-10
   297   0.153984E-08   0.275428E-12   0.112253E-10   0.443293E-08   0.807614E-10
   298   0.153784E-08   0.283790E-12   0.115403E-10   0.440370E-08   0.797051E-10
   299   0.153575E-08   0.292369E-12   0.118562E-10   0.437500E-08   0.786585E-10
   300   0.153355E-08   0.301161E-12   0.121730E-10   0.434682E-08   0.776218E-10
   301   0.153127E-08   0.310184E-12   0.124906E-10   0.431911E-08   0.765949E-10
   302   0.152889E-08   0.319417E-12   0.128090E-10   0.429186E-08   0.755781E-10
   303   0.152642E-08   0.328880E-12   0.131280E-10   0.426508E-08   0.745711E-10
   304   0.152385E-08   0.338574E-12   0.134476E-10   0.423874E-08   0.735741E-10
   305   0.152120E-08   0.348500E-12   0.137676E-10   0.421284E-08   0.725869E-10
   306   0.151846E-08   0.358666E-12   0.140878E-10   0.418737E-08   0.716097E-10
   307   0.151563E-08   0.369065E-12   0.144082E-10   0.416232E-08   0.706422E-10
   308   0.151271E-08   0.379706E-12   0.147287E-10   0.413768E-08   0.696845E-10
   309   0.150971E-08   0.390590E-12   0.150492E-10   0.411344E-08   0.687367E-10
   310   0.150662E-08   0.401706E-12   0.153695E-10   0.408960E-08   0.677985E-10
   311   0.150344E-08   0.413076E-12   0.156894E-10   0.406614E-08   0.668702E-10
   312   0.150019E-08   0.424689E-12   0.160090E-10   0.404306E-08   0.659515E-10
   313   0.149685E-08   0.436557E-12   0.163280E-10   0.402034E-08   0.650424E-10
   314   0.149343E-08   0.448668E-12   0.166465E-10   0.399798E-08   0.641431E-10
   315   0.148993E-08   0.461025E-12   0.169642E-10   0.397597E-08   0.632533E-10
   316   0.148635E-08   0.473646E-12   0.172810E-10   0.395429E-08   0.623732E-10
   317   0.148269E-08   0.486513E-12   0.175971E-10   0.393295E-08   0.615026E-10
   318   0.147896E-08   0.499635E-12   0.179122E-10   0.391193E-08   0.606416E-10
   319   0.147515E-08   0.513014E-12   0.182261E-10   0.389122E-08   0.597901E-10
