a  H_over_H0
2.040518e-01 3.353357e+00
2.043019e-01 3.349084e+00
2.045519e-01 3.344824e+00
2.048020e-01 3.340577e+00
2.050521e-01 3.336342e+00
2.053021e-01 3.332120e+00
2.055522e-01 3.327911e+00
2.058022e-01 3.323714e+00
2.060523e-01 3.319530e+00
2.063024e-01 3.315359e+00
2.065524e-01 3.311200e+00
2.068025e-01 3.307053e+00
2.070526e-01 3.302918e+00
2.073026e-01 3.298796e+00
2.075527e-01 3.294686e+00
2.078027e-01 3.290589e+00
2.080528e-01 3.286503e+00
2.083029e-01 3.282430e+00
2.085529e-01 3.278368e+00
2.088030e-01 3.274319e+00
2.090531e-01 3.270281e+00
2.093031e-01 3.266255e+00
2.095532e-01 3.262241e+00
2.098032e-01 3.258239e+00
2.100533e-01 3.254249e+00
2.103034e-01 3.250270e+00
2.105534e-01 3.246303e+00
2.108035e-01 3.242347e+00
2.110536e-01 3.238403e+00
2.113036e-01 3.234471e+00
2.115537e-01 3.230549e+00
2.118037e-01 3.226640e+00
2.120538e-01 3.222741e+00
2.123039e-01 3.218854e+00
2.125539e-01 3.214978e+00
2.128040e-01 3.211113e+00
2.130541e-01 3.207260e+00
2.133041e-01 3.203417e+00
2.135542e-01 3.199586e+00
2.138042e-01 3.195765e+00
2.140543e-01 3.191956e+00
2.143044e-01 3.188157e+00
2.145544e-01 3.184369e+00
2.148045e-01 3.180592e+00
2.150545e-01 3.176826e+00
2.153046e-01 3.173070e+00
2.155547e-01 3.169326e+00
2.158047e-01 3.165592e+00
2.160548e-01 3.161868e+00
2.163049e-01 3.158155e+00
2.165549e-01 3.154452e+00
2.168050e-01 3.150760e+00
2.170550e-01 3.147079e+00
2.173051e-01 3.143408e+00
2.175552e-01 3.139747e+00
2.178052e-01 3.136096e+00
