Omega_m,cost,age_Gyr,ok,P1,P2,P3,P4,P5,P6
0.028900,4.500420379724213,43.38005,1,350.0,415.0,650.0,1084.0,1250.0,1709.0
0.029000,4.508209596220008,43.318991,1,350.0,415.0,650.0,1083.0,1250.0,1707.0
0.029100,4.513066740149625,43.258206,1,350.0,415.0,650.0,1082.0,1250.0,1706.0
0.029200,4.5221237840617965,43.197694,1,350.0,414.0,650.0,1081.0,1250.0,1704.0
0.029300,4.529951908324181,43.137451,1,350.0,414.0,650.0,1080.0,1250.0,1702.0
0.029400,4.537794997112178,43.077477,1,350.0,414.0,650.0,1079.0,1250.0,1700.0
0.029500,4.543931940078658,43.017768,1,350.0,413.0,650.0,1078.0,1250.0,1699.0
0.029600,4.551798972107632,42.958323,1,350.0,413.0,650.0,1077.0,1250.0,1697.0
0.029700,4.5567040025192025,42.89914,1,350.0,413.0,650.0,1076.0,1250.0,1696.0
0.029800,4.5658448477747955,42.840217,1,350.0,412.0,650.0,1075.0,1250.0,1694.0
0.029900,4.573750787570358,42.781551,1,350.0,412.0,650.0,1074.0,1250.0,1692.0
0.030000,4.5799326241136695,42.723142,1,350.0,411.0,650.0,1073.0,1250.0,1691.0
